time,acc,atrunc
57.979,0.011193137,0.011193137
57.983,-0.001406863,-0.001406863
57.987,0.009993137,0.009993137
57.992,-0.019306863,-0.019306863
57.996,0.015993137,0.015993137
58,0.011793137,0.011793137
58.004,-0.000206863,-0.000206863
58.008,0.000393137,0.000393137
58.013,-0.007406863,-0.007406863
58.017,0.014193137,0.014193137
58.021,-0.011006863,-0.011006863
58.025,-0.013906863,-0.013906863
58.029,-0.019306863,-0.019306863
58.034,-0.021106863,-0.02
58.038,0.011193137,0.011193137
58.042,0.025593137,0.02
58.046,-0.002606863,-0.002606863
58.05,0.024393137,0.02
58.055,0.006393137,0.006393137
58.059,0.006993137,0.006993137
58.063,-0.003806863,-0.003806863
58.067,0.009993137,0.009993137
58.071,-0.000206863,-0.000206863
58.076,-0.031906863,-0.02
58.08,-0.023506863,-0.02
58.084,-0.027106863,-0.02
58.088,0.018993137,0.018993137
58.092,0.005793137,0.005793137
58.097,0.007593137,0.007593137
58.101,-0.019306863,-0.019306863
58.105,-0.018106863,-0.018106863
58.109,-0.011006863,-0.011006863
58.113,0.018993137,0.018993137
58.118,-0.000806863,-0.000806863
58.122,0.004593137,0.004593137
58.126,-0.009806863,-0.009806863
58.13,-0.012806863,-0.012806863
58.134,0.000993137,0.000993137
58.139,-0.007406863,-0.007406863
58.143,-0.016306863,-0.016306863
58.147,-0.012806863,-0.012806863
58.151,-0.013906863,-0.013906863
58.155,-0.010406863,-0.010406863
58.16,0.014793137,0.014793137
58.164,0.015393137,0.015393137
58.168,-0.001406863,-0.001406863
58.172,-0.001406863,-0.001406863
58.176,-0.012206863,-0.012206863
58.181,-0.003806863,-0.003806863
58.185,0.007593137,0.007593137
58.189,0.007593137,0.007593137
58.193,0.005793137,0.005793137
58.197,-0.013906863,-0.013906863
58.202,0.002193137,0.002193137
58.206,0.010593137,0.010593137
58.21,-0.003806863,-0.003806863
58.214,-0.006206863,-0.006206863
58.218,-0.037906863,-0.02
58.223,-0.016906863,-0.016906863
58.227,-0.006806863,-0.006806863
58.231,0.012993137,0.012993137
58.235,0.013593137,0.013593137
58.239,-0.011006863,-0.011006863
58.244,0.015393137,0.015393137
58.248,0.015993137,0.015993137
58.252,-0.018106863,-0.018106863
58.256,-0.004406863,-0.004406863
58.261,0.007593137,0.007593137
58.265,-0.031306863,-0.02
58.269,-0.021706863,-0.02
58.273,-0.013906863,-0.013906863
58.277,0.018993137,0.018993137
58.282,0.011793137,0.011793137
58.286,-0.006206863,-0.006206863
58.29,-0.009806863,-0.009806863
58.294,-0.016306863,-0.016306863
58.298,-0.021106863,-0.02
58.303,-0.001406863,-0.001406863
58.307,-0.006806863,-0.006806863
58.311,0.018993137,0.018993137
58.315,0.009393137,0.009393137
58.319,-0.006206863,-0.006206863
58.324,-0.000206863,-0.000206863
58.328,-0.026506863,-0.02
58.332,-0.016906863,-0.016906863
58.336,-0.009206863,-0.009206863
58.34,-0.019906863,-0.019906863
58.345,0.005193137,0.005193137
58.349,0.002793137,0.002793137
58.353,0.001593137,0.001593137
58.357,-0.015106863,-0.015106863
58.361,-0.021706863,-0.02
58.366,-0.010406863,-0.010406863
58.37,-0.003806863,-0.003806863
58.374,-0.003206863,-0.003206863
58.378,0.001593137,0.001593137
58.382,-0.000206863,-0.000206863
58.387,-0.036706863,-0.02
58.391,-0.013906863,-0.013906863
58.395,0.000993137,0.000993137
58.399,-0.004406863,-0.004406863
58.403,-0.016906863,-0.016906863
58.408,-0.033106863,-0.02
58.412,-0.014506863,-0.014506863
58.416,0.006993137,0.006993137
58.42,0.011193137,0.011193137
58.424,0.032093137,0.02
58.429,-0.000206863,-0.000206863
58.433,0.005793137,0.005793137
58.437,0.015393137,0.015393137
58.441,-0.007406863,-0.007406863
58.445,-0.023506863,-0.02
58.45,-0.024106863,-0.02
58.454,0.002793137,0.002793137
58.458,0.005793137,0.005793137
58.462,0.019593137,0.019593137
58.466,0.003993137,0.003993137
58.471,-0.019906863,-0.019906863
58.475,-0.015706863,-0.015706863
58.479,-0.024106863,-0.02
58.483,-0.008006863,-0.008006863
58.487,-0.017506863,-0.017506863
58.492,0.012393137,0.012393137
58.496,0.006393137,0.006393137
58.5,0.033893137,0.02
58.504,0.016593137,0.016593137
58.508,0.002193137,0.002193137
58.513,-0.012806863,-0.012806863
58.517,0.000993137,0.000993137
