Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
160,99.53,217.5,300,3.692,Concrete,Modular,Gabled,High,High,0.000292,25.775,0.786,0.711,0.7,0.628,1.13094359140942
161,79.6,380,80,1.297,Concrete,Modular,Monoslope,Low,High,0.000133,3.069,0.986,1.63,1.63,1.628,1.61261932320606
162,113.45,375,120,1.92,Concrete,Modular,Gabled,High,Low,0.000215,14.81,0.927,0.915,0.912,0.885,1.78637894165027
163,112.17,390,240,1.297,Concrete,Modular,Gabled,Low,Low,0.000265,2.383,0.993,2.192,2.191,2.194,1.80137967461763
164,209.29,435,300,1.92,Concrete,Modular,Monoslope,High,Low,9.36e-06,25.005,0.952,0.941,0.936,0.925,2.24436858220812
165,118.69,560,80,0.873,Concrete,Modular,Monoslope,High,High,6.65e-05,11.191,0.96,1.033,1.033,1.041,2.04222461839199
166,150.32,570,120,1.297,Concrete,Modular,Monoslope,Low,Low,1.9e-05,1.611,0.973,3.104,3.104,3.088,2.20389219542184
167,208.76,600,240,0.873,Concrete,Modular,Monoslope,Low,High,9.38e-07,4.211,0.987,2.246,2.245,2.251,2.46980361347336
168,160.69,577.5,300,1.297,Concrete,Modular,Gabled,High,High,2.65e-05,14.055,0.953,1.078,1.076,1.081,2.25727832775261
169,19.1,190,80,2.526,Metal Panels,Modular,Gabled,High,High,0.066108,2.578,0.916,0.895,0.893,0.87,0.853608931540749
170,56.82,195,120,3.692,Metal Panels,Modular,Gabled,Low,High,0.003787,11.583,0.863,0.752,0.745,0.708,1.03392372262895
171,60.25,420,240,1.846,Metal Panels,Modular,Gabled,High,High,0.000842,5.966,0.972,0.999,0.995,1.016,1.52856799670033
172,70.8,217.5,300,3.692,Metal Panels,Modular,Gabled,Low,Low,0.023212,4.686,0.915,1.297,1.289,1.243,1.07096092267076
173,22.36,380,80,1.297,Metal Panels,Modular,Monoslope,High,High,0.002121,3.646,0.931,0.789,0.789,0.792,1.10179165545231
174,58.69,375,120,1.92,Metal Panels,Modular,Gabled,Low,High,0.000688,2.184,0.971,1.664,1.664,1.658,1.46589030752265
175,111.83,390,240,1.297,Metal Panels,Modular,Gabled,Low,High,0.00017,2.168,0.989,2.293,2.291,2.296,1.79973987796111
176,143.93,435,300,1.92,Metal Panels,Modular,Monoslope,High,Low,0.000149,3.536,0.973,2.052,2.048,2.04,2.00592658783253
177,46.43,620,80,0.774,Metal Panels,Modular,Gabled,Low,High,0.000218,3.749,0.95,1.126,1.126,1.125,1.58883929449491
178,33.78,555,120,1.297,Metal Panels,Modular,Gabled,Low,Low,0.008565,1.148,0.924,1.731,1.73,1.735,1.39703938118773
179,120.82,660,240,0.857,Metal Panels,Modular,Monoslope,Low,High,3.54e-05,5.57,0.974,1.48,1.478,1.489,2.15688847666179
180,147.11,615,300,1.297,Metal Panels,Modular,Monoslope,Low,Low,7.47e-05,2.136,0.979,2.652,2.65,2.654,2.24015492044154
181,50.26,200,80,2.526,Concrete,Modular,Monoslope,High,High,0.000731,15.286,0.944,0.595,0.595,0.58,1.15877363163479
182,56.8,195,120,3.692,Concrete,Modular,Gabled,High,Low,0.005907,15.29,0.722,0.723,0.713,0.616,1.03386548529809
183,93.31,240,240,2.526,Concrete,Modular,Monoslope,High,Low,0.000257,28.244,0.938,0.603,0.6,0.581,1.4735493644723
184,180.67,255,300,3.692,Concrete,Modular,Monoslope,High,Low,5.15e-05,46.431,0.886,0.665,0.657,0.631,1.24414234120909
185,93.37,370,80,1.297,Concrete,Modular,Gabled,Low,Low,0.000754,2.093,0.991,2.139,2.138,2.136,1.67820721921683
186,113.1,375,120,1.92,Concrete,Modular,Gabled,Low,Low,0.000215,2.145,0.987,2.329,2.329,2.322,1.78472382771405
187,138.4,480,240,1.263,Concrete,Modular,Monoslope,High,High,2.21e-05,19.501,0.97,0.859,0.858,0.852,2.04190747203034
188,147.07,435,300,1.92,Concrete,Modular,Monoslope,High,Low,4.67e-05,19.938,0.945,0.884,0.881,0.868,2.0189560495454
189,111.54,560,80,0.873,Concrete,Modular,Monoslope,Low,High,6.65e-05,3.223,0.982,1.876,1.876,1.881,2.00451107584125
190,155.92,600,120,1.263,Concrete,Modular,Monoslope,Low,High,9.01e-06,4.28,0.969,1.938,1.938,1.93,2.26276151191868
191,143.16,570,240,0.873,Concrete,Modular,Gabled,Low,Low,0.000132,1.566,0.991,3.051,3.051,3.057,2.17185998460549
192,174.46,615,300,1.297,Concrete,Modular,Monoslope,High,High,4.68e-06,13.304,0.96,1.158,1.156,1.158,2.35773046557488
